experiment,scenario,family,algorithm,parameter_name,parameter_value,seed,horizon,final_regret,final_reward,final_optimal_arm_rate
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42047,10000,345.11999999999995,1138.0,0.4
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42047,10000,249.20999999999998,1220.0,0.4768
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42047,10000,197.83999999999997,1288.0,0.6138
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42047,10000,157.14,1318.0,0.7204
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42048,10000,381.44999999999993,1150.0,0.3501
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42048,10000,472.58,1051.0,0.2187
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42048,10000,450.03,1053.0,0.2505
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42048,10000,418.22999999999996,1110.0,0.2583
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42048,10000,365.9,1153.0,0.3331
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42048,10000,354.47999999999996,1160.0,0.3542
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42048,10000,250.58999999999997,1255.0,0.5527
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42048,10000,248.32,1268.0,0.5024
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42048,10000,255.62999999999997,1276.0,0.5481
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42049,10000,302.0,1184.0,0.4532
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42049,10000,469.03999999999996,1016.0,0.2281
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42049,10000,459.90999999999997,1055.0,0.2346
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42049,10000,418.00999999999993,1044.0,0.2614
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42049,10000,330.42999999999995,1172.0,0.4022
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42049,10000,356.16999999999996,1150.0,0.3552
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42049,10000,262.66999999999996,1254.0,0.4867
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42049,10000,212.94,1270.0,0.6093
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42049,10000,180.57999999999998,1319.0,0.6124
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42050,10000,378.46000000000004,1129.0,0.5669
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42050,10000,467.0299999999999,1054.0,0.2292
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42050,10000,452.13999999999993,1065.0,0.2463
