algorithm,block,arm,freq
DS-TS,7000,3,0.16679999999999998
DS-TS,7000,4,0.12666666666666665
DS-TS,7500,0,0.29233333333333333
DS-TS,7500,1,0.2353333333333333
DS-TS,7500,2,0.18760000000000002
DS-TS,7500,3,0.1614
DS-TS,7500,4,0.12333333333333334
DS-TS,8000,0,0.31033333333333335
DS-TS,8000,1,0.21266666666666667
DS-TS,8000,2,0.18760000000000002
DS-TS,8000,3,0.16126666666666667
DS-TS,8000,4,0.12813333333333332
DS-TS,8500,0,0.33313333333333334
DS-TS,8500,1,0.20726666666666665
DS-TS,8500,2,0.18380000000000002
DS-TS,8500,3,0.15039999999999998
DS-TS,8500,4,0.1254
DS-TS,9000,0,0.29866666666666664
DS-TS,9000,1,0.23846666666666666
DS-TS,9000,2,0.1812
DS-TS,9000,3,0.15180000000000002
DS-TS,9000,4,0.12986666666666666
DS-TS,9500,0,0.3050666666666667
DS-TS,9500,1,0.21566666666666665
DS-TS,9500,2,0.18106666666666668
DS-TS,9500,3,0.17333333333333334
DS-TS,9500,4,0.12486666666666667
Epsilon-Greedy,0,0,0.05413333333333334
Epsilon-Greedy,0,1,0.17986666666666667
Epsilon-Greedy,0,2,0.0882
Epsilon-Greedy,0,3,0.22466666666666668
Epsilon-Greedy,0,4,0.45313333333333333
Epsilon-Greedy,500,0,0.018666666666666665
Epsilon-Greedy,500,1,0.0812
Epsilon-Greedy,500,2,0.132
Epsilon-Greedy,500,3,0.17326666666666668
Epsilon-Greedy,500,4,0.5948666666666667
Epsilon-Greedy,1000,0,0.019733333333333332
Epsilon-Greedy,1000,1,0.05826666666666667
Epsilon-Greedy,1000,2,0.073
Epsilon-Greedy,1000,3,0.19493333333333332
Epsilon-Greedy,1000,4,0.6540666666666667
Epsilon-Greedy,1500,0,0.020733333333333333
Epsilon-Greedy,1500,1,0.051533333333333334
Epsilon-Greedy,1500,2,0.06133333333333334
Epsilon-Greedy,1500,3,0.1938666666666667
Epsilon-Greedy,1500,4,0.6725333333333334
Epsilon-Greedy,2000,0,0.020266666666666665
Epsilon-Greedy,2000,1,0.02273333333333333
Epsilon-Greedy,2000,2,0.04973333333333333
Epsilon-Greedy,2000,3,0.14566666666666667
Epsilon-Greedy,2000,4,0.7615999999999999
Epsilon-Greedy,2500,0,0.019533333333333333
Epsilon-Greedy,2500,1,0.01933333333333333
Epsilon-Greedy,2500,2,0.0496
Epsilon-Greedy,2500,3,0.11073333333333334
Epsilon-Greedy,2500,4,0.8008000000000001
Epsilon-Greedy,3000,0,0.019733333333333332
Epsilon-Greedy,3000,1,0.02206666666666667
